Gene	B6_E14_lung_rep2_TAGCTCG-TAGTAGA_R1.final	B6_E10_limb_rep2_GGACATT-ACTCCTA_R1.final	B6_E10_trunk_rep2_TCCACGT-GTTTAGT_R1.final	B6_E10_head_rep1_GACTTGC-GAACCGT_R1.final	B6_E10_limb_rep1_CCACTCG-CCGAATT_R1.final	B6_E14_palate_rep1_ACTCTTT-CTTCATT_R1.final	B6_E10_limb_rep3_CGGTTTG-AAGCCTT_R1.final	B6_E14_palate_rep2_AAGTTTC-GCTTCCT_R1.final	B6_E14_lung_rep1_AGATCAG-ATGGAAC_R1.final	B6_E10_trunk_rep3_GCGTTCA-GCAATAT_R1.final	B6_E10_head_rep3_CTCCTAG-AGGTAGG_R1.final	B6_E10_trunk_rep1_AGCTTAT-GCTCCTC_R1.final
Clec9a	51	10	30	30	18	4	17	2	14	27	25	30
Dyx1c1	21	15	27	13	38	19	44	24	18	27	19	21
Iah1	720	385	412	396	874	287	979	398	577	341	289	479
9330178D15Rik	0	0	0	0	0	0	0	4	0	0	0	0
Tacr1	32	31	39	27	49	33	60	49	39	59	58	37
AB341985	0	0	0	0	0	0	0	0	0	0	0	0
Tsks	3	3	0	0	5	1	3	1	3	1	3	1
Il9	0	0	0	0	0	0	0	0	0	0	0	0
AK201302	0	0	0	0	0	0	0	0	0	0	0	0
Gm6760	0	0	0	0	0	0	1	0	0	0	0	0
Ppil6	4	1	7	5	4	3	6	1	0	4	7	5
Commd2	873	415	674	524	1011	280	1188	480	715	426	379	648
B4gat1	1156	730	859	625	1489	506	1505	781	980	551	498	824
Gm38425	4	1	2	0	2	2	0	0	1	3	4	0
Defb42	0	0	0	0	0	0	0	0	0	0	0	0
Trabd	1194	1151	1227	988	2106	598	2241	809	1185	1161	723	1364
Prr23a1	0	0	0	0	0	0	0	0	0	0	1	0
Prdx1	10170	5609	6785	5802	11726	2633	12387	4150	8221	4948	3712	6610
Kcnj6	0	4	2	2	3	1	1	8	0	2	5	2
Mir615	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r37	0	0	0	0	0	0	0	0	0	0	0	0
Olfr727	0	1	1	1	1	1	0	1	0	0	1	0
Spdye4a	0	0	0	0	1	0	1	0	0	0	0	0
Olfr874	0	0	0	0	0	0	0	0	0	1	0	0
BC038600	0	0	0	1	0	3	2	1	2	2	4	0
Gm16070	43	92	78	87	190	94	189	119	27	65	76	99
Ptk2	2252	2133	2463	1999	3715	1239	3973	1861	1892	3052	1929	2534
Lpin2	1305	1556	1336	990	2627	857	3002	1229	1022	1437	972	1329
4930435E12Rik	0	0	0	0	1	0	0	0	0	0	0	0
Cldn5	1685	273	666	381	479	283	601	482	1432	350	239	641
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
AK087744	230	241	372	272	384	416	461	370	224	415	295	347
E030013I19Rik	77	18	19	8	31	8	31	23	53	17	8	24
Anp32e	3477	3697	4478	3296	6562	1415	6810	2244	2737	4700	2918	4366
Dusp9	910	3396	2934	3024	6123	218	6448	409	747	2813	1976	2925
Ccdc27	3	0	0	3	0	0	1	2	3	5	4	0
DQ701251	0	0	0	0	0	0	0	0	0	0	0	0
Csrp3	269	7	0	1	19	56	18	74	713	6	4	11
AK156119	114	128	186	148	213	141	200	114	73	196	143	174
Gm20063	0	0	0	0	1	8	0	6	0	1	0	0
Psmc3ip	510	545	586	464	1025	183	1158	257	425	470	377	542
AK085054	98	127	153	120	184	173	215	141	81	119	141	151
