Gene	B6_E14_lung_rep2_TAGCTCG-TAGTAGA_R1.final	B6_E10_limb_rep2_GGACATT-ACTCCTA_R1.final	B6_E10_trunk_rep2_TCCACGT-GTTTAGT_R1.final	B6_E10_head_rep1_GACTTGC-GAACCGT_R1.final	B6_E10_limb_rep1_CCACTCG-CCGAATT_R1.final	B6_E14_palate_rep1_ACTCTTT-CTTCATT_R1.final	B6_E10_limb_rep3_CGGTTTG-AAGCCTT_R1.final	B6_E14_palate_rep2_AAGTTTC-GCTTCCT_R1.final	B6_E14_lung_rep1_AGATCAG-ATGGAAC_R1.final	B6_E10_trunk_rep3_GCGTTCA-GCAATAT_R1.final	B6_E10_head_rep3_CTCCTAG-AGGTAGG_R1.final	B6_E10_trunk_rep1_AGCTTAT-GCTCCTC_R1.final
AK037056	0	0	0.04	0.02	0.07	0	0.01	0	0.02	0.32	0.28	0.05
Zadh2	11.24	7.95	7.06	2.66	5.56	4.06	6.57	3.82	9.9	10.91	3.03	5.74
Ptprz1	0.94	1.06	1.54	2.61	0.71	11.7	0.86	10.19	0.97	4.18	7.85	1.57
DQ693555	0	0	0	0	0	0	0	0	0	0	0	0
Gm4567	0.05	0	0	0	0.04	0	0.04	0.09	0	0	0	0
Gmnn	74.29	104.5	108.45	81.3	85.87	35.49	87.87	36.29	62.13	117.43	78.51	79.77
Npffr1	0	0	0	0.05	0.08	0.17	0.03	0.11	0	0	0.07	0.04
Lce1h	0	0	0	0	0	0	0.1	0	0	0	0.26	0
Olfr395	0	0	0	0	0	0	0	0	0	0	0	0
BC086315	1.63	2.95	0.8	1	1.1	1.24	1.13	1.41	0.3	1.47	0.65	1.48
AU015836	0	0.09	0.19	0.05	0.21	0.03	0.11	0.07	0	0.24	0.06	0.09
Rad54l	8.22	15.36	19.78	13.4	12.37	7.68	13.13	6.66	6.6	20.64	14.88	13.77
Sept4	8.16	2.09	3.51	2.2	1.54	7.58	2.01	8.2	6.84	2.6	3.21	2.53
DQ694702	0	0	0	0	0	0	0	0	0	0	0	0
Serp2	7.74	14.92	16.47	14.27	11.43	9.21	11.64	10.86	6.69	15.91	14.01	12.34
FJ541080	0	0	0	0	0	0	0	0	0	0	0	0
C2cd4d	0.38	0.68	0.51	0.43	1.1	1.75	0.83	1.85	0.47	1.69	0.45	0.73
Mir7223	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1298	0	0	0	0	0.04	0	0	0	0	0	0	0
Rab11fip1	1.31	5.52	4.64	4.33	3.63	3.37	3.97	2.85	1.2	7.09	5.97	3.25
Zdhhc2	6.58	4.15	8.4	5.18	3.11	10.74	2.55	9.12	5.01	10.15	5.08	5.33
Mir7018	0	0	0	0	0	0	0	0	0	0	0	0
